2019-11-08 16:21:31,3168.5万,164.4万,107.3万,9.8,29975人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 17:21:47,3168.6万,164.4万,107.3万,9.8,29977人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 18:22:02,3168.8万,164.5万,107.3万,9.8,29977人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 18:52:55,3168.9万,164.5万,107.3万,9.8,29977人评
2019-11-08 19:53:15,3169.1万,164.5万,107.3万,9.8,29981人评
2019-11-08 20:53:31,3169.4万,164.5万,107.3万,9.8,29981人评
2019-11-08 21:53:46,3169.7万,164.5万,107.3万,9.8,29982人评
2019-11-08 22:54:03,3170万,164.5万,107.3万,9.8,29986人评
2019-11-08 23:54:20,3170.3万,164.5万,107.4万,9.8,29987人评
2019-11-09 00:54:42,3170.7万,164.5万,107.4万,9.8,29989人评
2019-11-09 01:55:02,3171万,164.6万,107.4万,9.8,29991人评
2019-11-09 02:55:21,3171.3万,164.6万,107.4万,9.8,29993人评
2019-11-09 03:55:38,3171.4万,164.6万,107.4万,9.8,29995人评
2019-11-09 04:55:54,3171.5万,164.6万,107.4万,9.8,29997人评
2019-11-09 05:56:12,3171.5万,164.6万,107.4万,9.8,29997人评
